annual_income,funded_amount,loan_success,term_months
35000.0,9450,1,36
30000.0,10000,0,36
45900.0,6500,1,36
24000.0,1500,1,36
46000.0,7000,1,36
75000.0,8325,1,36
20400.0,6225,1,36
50200.0,13225,1,36
64100.0,9000,1,36
135000.0,25000,1,36
35100.0,7750,0,36
110000.0,10000,1,36
100000.0,12000,1,36
120000.0,30225,1,60
80000.0,20000,0,60
73000.0,15000,1,36
40000.0,16000,1,60
63000.0,8925,1,36
95000.0,10000,1,36
80000.0,20000,1,60
78400.0,5200,1,36
70000.0,9000,1,36
45000.0,3000,1,36
31000.0,8500,1,36
50000.0,5950,1,36
26000.0,6700,1,36
76000.0,34475,0,60
120000.0,8400,1,36
73000.0,14275,1,60
108000.0,14400,1,36
95000.0,11700,1,36
73100.0,24700,1,36
57000.0,17100,0,60
68000.0,10000,1,36
55000.0,19000,0,60
110000.0,10000,1,36
26000.0,5200,1,36
75000.0,25000,1,60
115000.0,7000,1,36
60000.0,15000,1,36
80000.0,28000,0,60
40000.0,7500,1,36
39684.0,6000,1,36
85000.0,12000,1,36
40000.0,17625,1,36
50000.0,16000,1,60
51000.0,16800,1,60
52000.0,7000,1,36
60000.0,17000,1,36
34000.0,6000,0,36
88000.0,21600,1,60
39000.0,6925,1,36
58350.0,3500,0,36
55000.0,12000,1,36
90000.0,16800,1,36
155000.0,24000,1,36
130000.0,24000,1,36
59000.0,21200,0,60
90000.0,21000,1,36
40000.0,4200,1,36
53000.0,8000,0,36
80000.0,11200,1,60
35500.0,12375,0,60
48500.0,8000,1,36
85000.0,28800,0,60
52000.0,13000,0,36
55000.0,15000,1,36
42000.0,1500,1,36
57000.0,12000,1,36
55000.0,19600,1,60
39000.0,5000,1,36
52000.0,9600,1,36
82000.0,20125,1,60
85000.0,32000,1,60
45000.0,10000,0,36
38000.0,5600,1,36
47000.0,3500,1,36
40000.0,4800,1,36
115000.0,4000,1,36
58000.0,25000,1,60
41000.0,12000,1,60
71500.0,3000,0,36
91000.0,18000,1,60
30000.0,4800,1,36
79000.0,8000,1,60
55500.0,3000,1,36
36000.0,14075,1,60
24000.0,1000,0,36
123500.0,27000,1,36
25000.0,6000,1,36
82000.0,8000,1,36
19000.0,4300,1,36
46000.0,12000,1,36
44000.0,10000,1,36
156000.0,20400,1,36
100000.0,15000,1,36
48000.0,12500,0,60
93360.0,20000,1,60
39500.0,12000,1,36
100000.0,20000,1,60
90000.0,28000,1,36
55000.0,14400,1,36
50000.0,19000,1,36
50000.0,10000,1,36
90000.0,16450,1,36
64800.0,19350,1,60
44000.0,14575,1,36
80000.0,18000,1,36
90000.0,21600,0,60
92000.0,23000,1,60
65000.0,29100,0,60
65000.0,20000,1,60
42000.0,18250,1,36
40000.0,15250,0,36
72000.0,7000,1,36
61200.0,13000,1,36
65000.0,10000,1,36
65000.0,15000,1,36
59000.0,20000,0,36
25000.0,8000,1,36
60000.0,2000,1,36
60000.0,20000,0,60
26000.0,9000,0,36
42500.0,7500,1,36
18500.0,2400,1,36
54000.0,18000,1,36
72000.0,8000,1,36
72000.0,10800,1,60
135000.0,35000,1,60
131040.0,10000,1,36
63324.0,25050,1,60
24000.0,5000,1,36
28000.0,14000,1,36
95000.0,12000,1,36
111000.0,23800,1,60
56160.0,6000,0,36
120000.0,6000,1,36
120000.0,10000,0,36
64000.0,12000,1,36
65000.0,4800,1,36
50000.0,11400,1,36
260000.0,12000,1,36
73000.0,12000,1,36
36000.0,11200,1,60
32000.0,9750,1,36
60000.0,5000,1,36
24000.0,5000,1,36
81000.0,19200,1,36
60000.0,12000,1,60
40000.0,18000,1,36
75000.0,33425,1,60
36200.0,3600,1,36
35000.0,7800,1,36
48000.0,4800,1,36
25000.0,9750,1,36
51000.0,3000,1,36
100000.0,5400,1,36
36000.0,5000,0,36
48000.0,4750,1,36
103000.0,13200,1,60
115000.0,23750,1,36
75796.0,20000,1,36
55000.0,6600,1,36
42000.0,5800,0,36
60000.0,7800,1,36
35000.0,4200,1,36
24091.68,3500,1,36
20000.0,1200,1,36
155000.0,9600,0,36
65000.0,17000,0,36
19000.0,4125,1,36
55000.0,5000,1,36
55000.0,5200,1,36
25000.0,10475,0,60
80000.0,25000,1,36
56000.0,18725,1,36
49000.0,8000,1,60
92000.0,33600,0,60
90000.0,16000,1,60
51000.0,2400,1,36
80000.0,17600,1,36
122000.0,20000,1,36
54000.0,16000,1,36
36500.0,1875,1,36
42000.0,3000,1,36
33800.0,14400,1,36
85000.0,22400,0,60
72000.0,1000,1,36
42000.0,10800,1,36
110000.0,15000,1,60
27000.0,8075,1,36
490000.0,20000,1,60
22000.0,6250,0,36
50000.0,15000,0,36
81185.0,21000,1,60
190000.0,35000,1,36
75000.0,23850,1,36
75000.0,29700,1,36
70000.0,2200,1,36
175000.0,9000,1,36
58000.0,6500,1,36
102000.0,20000,1,36
53300.0,3000,1,36
31000.0,10000,1,60
40000.0,2500,1,36
50000.0,20000,1,60
66321.0,20000,1,36
25000.0,9000,1,36
45000.0,8000,1,36
112851.6,11500,1,36
95000.0,22800,1,60
70000.0,16000,1,36
40000.0,15000,1,36
55000.0,14950,1,36
82100.0,16000,1,60
60000.0,23675,1,60
85000.0,10000,0,36
150000.0,19200,1,60
77000.0,25000,1,36
63862.0,20000,1,60
125000.0,21775,1,60
62400.0,2400,1,36
35000.0,7300,1,36
173000.0,32400,1,36
80000.0,24925,0,60
90500.0,11975,1,36
68000.0,18075,1,60
34415.0,11000,1,60
100000.0,8000,1,36
38000.0,1000,1,36
25000.0,1200,1,36
62000.0,4525,1,36
63600.0,19100,1,36
75000.0,24800,1,60
47000.0,17350,1,36
127500.0,10500,1,36
48000.0,9450,1,36
50000.0,22800,1,60
35000.0,10000,0,36
100000.0,5000,1,36
58000.0,19200,1,60
115000.0,24250,1,60
72000.0,6000,0,36
36000.0,10000,1,36
49000.0,14000,1,60
104112.0,13500,1,36
54996.0,20000,1,36
96000.0,18000,1,36
85000.0,15000,1,36
50000.0,4000,1,36
64480.0,32250,1,60
70000.0,14400,1,36
85000.0,20000,1,60
55000.0,5000,1,60
135000.0,24925,1,60
72000.0,9750,1,36
73000.0,20000,1,36
38000.0,7000,1,36
39480.0,2500,1,36
53000.0,10000,1,36
55099.0,7000,1,36
77500.0,18000,1,60
35000.0,12000,1,36
72000.0,12000,1,60
80000.0,11000,1,36
60000.0,24000,0,60
80000.0,7000,1,36
179000.0,24000,1,60
110000.0,30000,1,60
118000.0,2000,1,36
105000.0,21000,1,60
57600.0,8650,1,36
165000.0,25000,1,60
100000.0,10000,1,36
45000.0,10400,1,36
50000.0,21000,1,60
38000.0,10000,1,36
57408.0,3000,1,36
60000.0,4000,1,36
120000.0,6000,1,36
86000.0,10000,1,36
52000.0,6000,1,36
55000.0,16000,1,60
110000.0,24000,1,36
100000.0,23000,1,60
51255.0,7000,1,36
90906.0,27000,0,60
38000.0,13500,1,36
52714.0,3000,1,36
81000.0,24000,1,36
60000.0,15600,0,60
60000.0,8000,1,36
50000.0,17000,0,60
37400.0,14400,1,36
88000.0,15000,1,36
85000.0,14975,0,60
95800.0,16000,1,36
36000.0,5000,1,36
85000.0,6000,1,36
12000.0,1000,1,36
100000.0,7800,1,36
110000.0,35000,1,36
200000.0,35000,1,60
34000.0,11500,1,60
110000.0,22000,1,36
84000.0,3600,1,36
66000.0,25000,1,60
24000.0,6000,0,60
35000.0,5600,1,36
73000.0,13600,1,36
36000.0,18000,0,36
24000.0,8325,1,36
55000.0,10000,1,36
50000.0,19500,1,36
168000.0,25000,1,36
60000.0,7800,1,36
30000.0,2000,1,36
28800.0,10000,1,36
95000.0,16000,1,36
80000.0,28000,1,36
107000.0,13800,1,36
41600.0,14575,1,36
65000.0,20000,1,36
180000.0,25000,1,36
33560.0,9000,1,36
75000.0,12000,1,36
38000.0,12000,1,36
42000.0,18450,0,36
23040.0,2000,1,36
62000.0,12000,0,36
42000.0,12000,1,36
84200.0,24500,1,36
55000.0,7300,1,36
57500.0,5000,1,36
48000.0,3000,1,36
40000.0,9000,1,36
56000.0,14550,1,36
45000.0,6000,1,36
31543.2,7000,1,60
29120.0,2000,1,36
120000.0,13000,1,36
71004.0,20000,1,36
60000.0,24000,1,60
41004.0,12000,1,36
122000.0,15000,1,36
47000.0,10000,1,36
300000.0,18000,1,36
50000.0,10000,1,36
45000.0,5400,1,36
113000.0,22000,1,36
60800.0,13475,1,36
250000.0,28000,0,60
40000.0,7450,1,36
30000.0,3600,1,36
63400.0,18000,1,60
52000.0,1500,1,36
100000.0,10000,1,36
100000.0,8400,0,36
41500.0,11000,1,36
53000.0,27575,1,60
85000.0,26000,1,60
30000.0,10050,1,36
110000.0,16500,1,60
30000.0,10000,1,36
35000.0,3000,1,36
58000.0,4000,1,36
93530.0,12000,1,36
70000.0,9000,1,36
55000.0,12000,1,36
143375.0,12000,1,36
42000.0,12800,0,36
58000.0,16000,1,36
64000.0,11950,1,60
60000.0,24000,0,60
51000.0,10750,1,60
193500.0,10000,1,36
37000.0,8000,1,36
51000.0,12000,1,60
70000.0,7000,1,36
34000.0,7200,1,36
40800.0,10400,1,36
62250.0,19075,1,36
40025.64,14350,0,60
60000.0,8500,1,36
120000.0,35000,1,60
75000.0,4000,1,36
70000.0,20000,1,36
58000.0,8400,1,36
85000.0,7000,1,36
34200.0,2500,1,36
71800.0,20000,1,36
110000.0,25000,0,36
34000.0,5000,1,36
90000.0,17000,1,36
36000.0,4800,1,36
29000.0,6400,1,36
62000.0,27575,1,60
61000.0,20000,0,60
120000.0,16000,1,60
74500.0,18000,1,60
15500.0,3275,0,36
90000.0,15000,1,36
90000.0,9250,1,36
89004.0,10000,1,36
83369.0,5825,1,36
50000.0,25000,0,60
15803.16,6200,0,36
165800.0,35000,1,36
40000.0,13000,1,60
47000.0,5500,1,36
53112.0,15875,1,60
35700.0,15725,1,60
42000.0,9025,0,36
30000.0,7000,0,36
115000.0,3200,1,36
47000.0,14000,0,36
60000.0,10000,1,36
102000.0,15000,1,36
53000.0,6000,1,36
45000.0,5000,1,36
70000.0,12000,1,36
160000.0,30000,1,60
45000.0,10000,1,36
80000.0,15000,1,60
113000.0,15000,1,36
50000.0,20950,0,60
16800.0,3050,1,36
27000.0,13475,1,36
42000.0,12000,1,60
45000.0,2400,1,36
36000.0,10000,1,36
46000.0,14575,0,36
75000.0,5500,1,36
30000.0,7000,1,36
27000.0,7000,1,36
56000.0,18225,0,36
135000.0,30000,1,60
93600.0,25000,1,36
110000.0,15000,1,36
100000.0,20125,1,60
75000.0,20475,0,60
87600.0,20000,1,36
50000.0,8400,0,36
75000.0,24000,1,36
85000.0,2200,1,36
49000.0,21350,1,60
71000.0,23000,0,60
46000.0,19300,1,36
38000.0,16950,0,36
91000.0,12000,1,36
73000.0,8000,1,36
40000.0,15850,1,36
45000.0,3000,1,36
31000.0,10400,1,36
61000.0,13250,0,36
59000.0,9000,1,36
78000.0,29000,1,60
185000.0,30000,1,36
71137.0,17000,1,36
45000.0,6000,1,36
170000.0,21000,1,36
14400.0,3825,1,36
77000.0,15000,1,36
46000.0,9000,1,36
42000.0,9600,0,36
170000.0,35000,1,60
72000.0,8400,1,36
49700.0,5500,1,36
24000.0,10000,1,36
41600.0,10000,1,36
27000.0,6250,1,36
92000.0,5750,0,36
52596.0,15000,1,36
41000.0,14575,1,36
50000.0,6000,1,36
90000.0,21600,1,36
36100.0,8400,1,36
120000.0,18000,1,36
27000.0,9325,0,36
35000.0,7000,1,36
80000.0,10000,1,36
80000.0,14000,1,60
48000.0,20000,1,36
50000.0,20000,1,36
78000.0,2800,1,36
41433.6,16425,0,36
36000.0,6225,1,36
56000.0,16000,0,36
105000.0,5000,1,36
98400.0,16525,1,36
80000.0,15600,0,60
49500.0,21850,1,60
93000.0,35000,1,36
17400.0,4750,1,36
40000.0,17625,1,36
85000.0,15000,0,36
68000.0,10000,1,36
40000.0,5375,1,36
30200.0,9925,1,36
70000.0,17475,1,36
137000.0,4500,1,60
50000.0,7800,1,36
65000.0,6000,1,36
32000.0,11100,0,36
52000.0,6400,1,36
55000.0,12000,1,36
108000.0,16000,1,60
31000.0,10000,1,36
55000.0,26375,0,60
55000.0,8400,1,36
115000.0,19000,1,36
35000.0,12175,0,36
35000.0,15000,1,36
41000.0,5000,0,36
26880.0,4900,1,36
59000.0,23500,1,36
40000.0,6000,1,36
72000.0,12600,1,60
20000.0,6500,1,36
28000.0,8000,1,36
52000.0,12000,1,36
52000.0,25975,1,36
72000.0,5750,1,36
37000.0,6000,0,36
40000.0,3000,1,36
84000.0,11500,1,60
125000.0,6500,1,36
80000.0,21000,1,36
58000.0,15200,1,60
108000.0,33000,1,60
45000.0,14000,1,36
32500.0,7000,0,36
114996.0,12000,1,60
78000.0,28000,1,60
31200.0,9000,1,36
120000.0,35000,1,60
37596.0,18225,1,36
47000.0,6000,1,36
55000.0,2500,1,36
68000.0,9600,1,36
36000.0,8000,0,36
18000.0,4000,1,36
51350.0,10000,1,60
88483.0,11000,1,60
27000.0,5675,0,36
50000.0,20000,1,36
55000.0,15000,1,36
50000.0,4000,1,36
48000.0,6500,1,36
75000.0,11325,1,36
76000.0,16800,1,60
43000.0,4500,1,36
32868.0,2500,1,36
87000.0,15000,1,60
43904.13,5725,1,36
60000.0,9000,1,36
110000.0,28000,1,36
63000.0,23925,1,60
50000.0,12000,1,36
33000.0,9000,1,36
90000.0,20000,1,60
52000.0,7000,1,36
99000.0,1800,1,36
90000.0,18650,0,60
21940.0,9600,0,36
41600.0,4000,0,36
86000.0,30000,1,36
53000.0,4800,1,36
75000.0,10000,1,36
71000.0,15000,1,36
140000.0,34550,1,60
47000.0,12000,1,36
65000.0,12500,1,36
26000.0,8000,0,36
39780.0,11575,1,36
31000.0,2000,1,36
150000.0,20900,1,36
90000.0,2700,1,36
120000.0,34500,1,36
70000.0,12000,1,36
38600.0,12950,1,36
48000.0,2500,1,36
60000.0,15000,0,60
75000.0,19000,1,60
74000.0,20000,1,36
26400.0,11075,0,60
35000.0,11000,1,36
63000.0,12100,1,36
130000.0,24000,1,36
75000.0,12000,1,60
85000.0,12000,1,36
55000.0,10000,1,36
95000.0,3975,1,36
80000.0,17000,1,36
37000.0,3400,1,36
54000.0,19375,1,60
82000.0,30000,1,60
54000.0,2400,1,36
43000.0,10000,1,60
100000.0,35000,1,60
74160.0,8000,1,36
63000.0,15000,1,60
49500.0,14525,1,36
60000.0,14000,1,60
92000.0,9550,1,36
90000.0,12000,1,36
60000.0,9000,1,36
61000.0,6300,1,36
150000.0,15000,1,36
125000.0,35000,1,60
66000.0,15000,1,36
32204.0,5000,0,36
50000.0,10000,1,36
109000.0,20000,1,36
52800.0,15000,1,36
110000.0,10000,1,36
98000.0,16000,1,36
87000.0,25000,1,36
14000.0,6150,0,36
119153.0,4000,1,60
57000.0,9000,1,36
25000.0,8500,1,36
93000.0,24500,1,60
48000.0,18450,1,36
27840.0,3500,1,36
95000.0,17475,0,60
90000.0,20000,1,36
52000.0,8000,1,36
54000.0,10000,1,36
62000.0,5200,1,36
45000.0,3000,0,36
40000.0,5000,0,36
90000.0,5600,1,36
97000.0,32400,1,36
72000.0,18000,1,36
310000.0,33575,1,36
60000.0,10000,1,36
24000.0,4750,1,36
50000.0,11000,1,60
275000.0,35000,1,36
59500.0,15000,1,36
60000.0,3000,1,36
68124.0,14000,1,36
84000.0,8000,0,36
40000.0,15000,1,60
85000.0,28000,1,36
33000.0,8875,1,36
65000.0,7200,1,36
90000.0,14000,1,36
101866.0,24300,1,36
30000.0,6400,1,36
52000.0,20750,0,60
42000.0,12000,1,36
52000.0,20000,0,60
55000.0,15000,1,36
105000.0,12750,1,36
35000.0,6250,1,36
30000.0,7900,1,36
110000.0,6500,1,36
130000.0,12000,1,36
38000.0,11500,1,36
93000.0,19950,1,60
61600.0,4200,1,36
61000.0,15000,1,36
84000.0,28000,1,60
153000.0,8400,1,36
260000.0,28800,1,60
76500.0,8000,1,36
100000.0,22800,1,60
29004.0,5000,1,36
60000.0,26375,1,60
100000.0,7000,1,36
68500.0,8000,1,36
74000.0,28000,0,36
38000.0,3500,1,36
40000.0,8000,1,36
61500.0,25000,0,60
32000.0,3000,0,36
104000.0,30000,1,60
80000.0,3625,0,36
46000.0,16000,1,36
120000.0,30000,1,60
49210.0,12000,1,36
42000.0,12200,1,60
32000.0,10500,1,36
62000.0,12000,1,36
104698.0,10000,1,36
32004.0,4000,1,36
120000.0,10175,1,36
102500.0,8000,1,36
50000.0,13500,0,36
70000.0,25000,1,60
145000.0,10000,1,36
84000.0,15000,1,36
87000.0,10000,1,36
101000.0,21000,1,60
87500.0,10000,1,36
78000.0,15000,1,36
175000.0,18150,1,60
63000.0,25000,1,60
35000.0,3450,1,36
160000.0,16000,1,36
84000.0,21475,1,36
156130.0,20000,1,36
62400.0,12000,1,36
35000.0,11500,0,60
110000.0,16000,1,36
140000.0,10000,1,36
70000.0,31300,1,60
30000.0,7800,0,60
100000.0,16000,0,36
50000.0,14000,1,36
105000.0,6000,1,36
50000.0,7000,1,36
30000.0,10125,0,36
50000.0,6075,1,36
65000.0,18000,1,36
30000.0,2000,1,36
45760.0,8950,1,36
61252.0,27050,0,60
60000.0,11500,1,36
98100.0,21000,1,36
48000.0,5000,1,36
60000.0,23850,1,36
95000.0,6000,1,36
93600.0,5000,1,36
31000.0,4275,1,36
75000.0,12000,1,36
120000.0,13000,0,60
45000.0,20000,0,36
80000.0,10575,1,60
82800.0,18000,1,36
63000.0,10000,1,36
164000.0,28000,1,36
60224.0,1200,1,36
110000.0,20000,1,36
50000.0,12250,1,36
60000.0,10000,1,36
40000.0,5000,1,36
61000.0,1000,1,36
110000.0,16800,1,36
54000.0,21250,1,36
55000.0,20000,1,36
190000.0,21600,1,36
74500.0,14000,1,36
115000.0,24000,1,36
63996.0,8500,1,36
56000.0,7700,1,36
49000.0,2000,1,36
50000.0,7000,1,36
42000.0,18825,1,60
110510.0,35000,1,36
65000.0,5000,1,36
90000.0,8000,1,60
25000.0,6000,1,36
70000.0,20000,1,60
42000.0,5000,0,36
80000.0,6400,1,36
44000.0,5200,1,36
42000.0,8000,0,36
53000.0,7500,1,36
78000.0,18650,1,60
49560.0,1000,1,36
80000.0,13725,0,60
52000.0,3000,1,36
70000.0,19750,1,36
92000.0,30000,0,60
45000.0,15000,1,36
48000.0,7000,1,36
58000.0,10200,1,60
138000.0,24000,1,60
45000.0,13000,0,36
95000.0,9000,1,36
72000.0,22100,1,36
53947.0,6400,1,36
38000.0,5600,1,36
43200.0,4000,0,36
50000.0,22250,0,60
80000.0,33575,1,60
61000.0,5000,1,36
60000.0,10000,1,36
48500.0,10000,0,36
75000.0,15000,0,36
90000.0,12000,1,36
68000.0,10800,1,36
40000.0,6400,0,36
31200.0,3500,1,36
101000.0,21000,1,36
67000.0,4800,0,36
140000.0,21000,1,36
55000.0,6000,1,36
43000.0,17200,1,60
43285.0,12000,0,36
51000.0,17000,1,36
76000.0,17275,1,60
230000.0,30000,1,36
68000.0,6000,1,36
87000.0,35000,1,36
42000.0,6000,1,36
100000.0,12000,1,36
70000.0,15000,1,36
60000.0,20000,1,36
57000.0,8000,1,36
92000.0,10000,1,36
62000.0,10000,1,36
30000.0,5000,1,36
56000.0,10000,1,36
56000.0,19750,0,60
98000.0,1200,1,36
85000.0,12000,0,60
32000.0,15000,1,36
19000.0,6000,0,36
75000.0,16000,1,36
68000.0,19075,0,60
67000.0,25000,0,60
46900.0,20550,1,60
33714.0,10000,1,36
40800.0,7000,1,36
36500.0,8000,1,36
85000.0,11000,1,36
58000.0,18000,1,36
62000.0,22750,1,60
36000.0,12000,1,36
79000.0,20000,1,36
42000.0,16000,1,60
33120.0,12000,0,60
42000.0,12000,1,36
72000.0,21000,1,36
77000.0,16000,1,60
35000.0,8075,1,60
38000.0,10625,1,36
50000.0,8000,1,36
38928.0,9800,1,36
24835.0,12300,0,36
20800.0,5500,0,36
50000.0,8300,1,36
35000.0,2700,1,36
100000.0,8000,1,36
71000.0,14500,0,36
65000.0,9600,1,36
69700.0,10000,1,36
74000.0,20225,1,60
75000.0,16000,0,36
85000.0,16950,1,36
48000.0,10000,1,36
36000.0,15000,1,36
56000.0,23000,1,60
72000.0,11500,1,36
35000.0,12000,1,36
22400.0,3950,0,36
145000.0,16000,1,36
95000.0,23000,1,60
19970.01,1200,1,36
53500.0,10500,1,36
28000.0,9750,1,36
63000.0,4125,1,36
40176.0,2500,1,36
47000.0,10000,1,36
115000.0,10000,1,36
92000.0,21000,1,36
70000.0,15250,0,36
166000.0,35000,1,60
46000.0,13600,1,60
144000.0,20000,1,36
60000.0,22550,1,36
70000.0,10500,1,60
100800.0,30000,1,36
35000.0,1800,1,36
32400.0,4800,1,36
135000.0,28000,1,36
55000.0,24575,0,60
70000.0,7000,1,36
83000.0,20000,1,60
87500.0,14000,1,36
70000.0,8000,1,36
40000.0,10000,0,60
185000.0,24000,1,60
62500.0,9000,1,36
32526.0,4500,1,36
120000.0,9725,0,36
42224.0,3000,1,36
55000.0,9600,1,36
54000.0,12800,1,36
67000.0,4200,1,36
56000.0,24925,1,60
28000.0,9250,1,36
54000.0,2500,1,36
79000.0,20000,1,36
120000.0,12000,1,36
115000.0,18000,1,36
39000.0,10000,1,36
75000.0,10200,1,36
32000.0,5700,0,36
133000.0,21000,1,36
26000.0,9325,1,36
30000.0,10500,1,36
20000.0,3850,1,36
50000.0,7975,1,36
67000.0,25000,1,60
50000.0,18850,0,60
120000.0,25000,1,60
60000.0,5150,1,36
33660.0,6000,1,36
185000.0,28000,1,36
43000.0,4200,0,36
20004.0,4000,1,36
96000.0,15000,1,60
50000.0,18000,1,60
56000.0,14500,1,36
175000.0,12000,0,36
70300.0,20000,1,60
75000.0,3200,1,36
41250.0,7750,1,36
84300.0,24000,0,60
35000.0,10000,1,36
88000.0,35000,0,60
40000.0,8000,1,36
100000.0,21000,1,36
50000.0,10000,0,36
83000.0,29900,1,60
110000.0,9000,1,36
200000.0,12000,1,60
50000.0,5925,1,36
